Difference of "all_files" between "1.21.30.24" (beta of "1.21.30") and "1.21.30.25" (beta of "1.21.30").

Total file: 19737 (+1, -2)
Removed file "gui/dist/hbui/assets/external-link-0e493.png": "5d327c0cc4e638b46c36cc682636b64697267700".
Removed file "gui/dist/hbui/index-5f200.js": "c2c5cc5c5f1e7f048609e24feb53fa8741919bb3".
Added file "gui/dist/hbui/index-c0d53.js": "99d58a2bca9362eb05d2d36c5062e925dad448d8".
Moved file from "gui/dist/hbui/index-5f200.js.LICENSE.txt" to "gui/dist/hbui/index-c0d53.js.LICENSE.txt".
Changed file "resource_packs/experimental_bundles/texts/nb_NO.lang" from "81ad4e2913e0e6f4a693b8365041e268f3b3318c" to "d46733c0f107539465a45e34d807956932b47aa1".
Changed file "resource_packs/experimental_bundles/texts/nl_NL.lang" from "7185e0d13869a3762fe2eac6a98be8cb96a469a9" to "84e2508a39b487147bb0cfb4ca4ed3f220a7a1e4".
Changed file "resource_packs/experimental_bundles/texts/pl_PL.lang" from "9ce5206ddd6455259c1eeae94202c516eb647936" to "27def3176c9517b1295bec03603eb154c68b194d".
Changed file "resource_packs/experimental_bundles/texts/pt_BR.lang" from "51b32b398293de2adb41a79ebccc155be3d84d4e" to "7501fef36e01174fcbb8cb387557fdcfe9406161".
Changed file "resource_packs/experimental_bundles/texts/pt_PT.lang" from "3bc345b8b46a704521fc41a42d4aac43dffdd143" to "c12ba59cce98b37d76079ac7e98cf096ec66fbbb".
Changed file "resource_packs/experimental_bundles/texts/ru_RU.lang" from "60f54b56047607af41913689ec2706ce99cd9fd6" to "7da664e77a32e1cb6c9fc0ccd494449c4bcc9511".
Changed file "resource_packs/experimental_bundles/texts/sk_SK.lang" from "70567cec9aadccfa6289321fa2d7da8a3437bda4" to "c3c43b65046daa72bda5ffa8ec7a4c316139f93c".
Changed file "resource_packs/experimental_bundles/texts/sv_SE.lang" from "dd9d216d92880efafdf00cefc80869ff561701a0" to "19162137137d7152c7dc4bec06ed9c7652d1455b".
Changed file "resource_packs/experimental_bundles/texts/tr_TR.lang" from "d1c261a456a20c90d8f48d85546966004864de6c" to "7a406df0f9d53fcf7003119ca6edd2c92db56938".
Changed file "resource_packs/experimental_bundles/texts/uk_UA.lang" from "3090e4269692246fcb0174ff67acc524616b0ef9" to "af1b02d6bdca8dcb28044c4a49755d9bdc16d032".
Changed file "resource_packs/experimental_bundles/texts/zh_CN.lang" from "2771482ba9728e07d2a6a89f25f78e28f4bec5a5" to "8d8a34d27b5278a54cbef71d670579589bd302df".
Changed file "resource_packs/experimental_bundles/texts/zh_TW.lang" from "7ba66bf55a60500b8e45e98f6b1be42f0eaf6ae0" to "b7b8cc9cbd24fecee542f208b12618ee7a4a548f".
Changed file "resource_packs/oreui/texts/bg_BG.lang" from "d856094b332505773633d800717a4f1a67784d19" to "c598e9660c9eab979ce0bffda93dcfa371ba738e".
Changed file "resource_packs/oreui/texts/cs_CZ.lang" from "9bed14afbcffbd33dfd2c39c38f133bce662d09d" to "3c40f35f914fb63360c79a59a6e58dfd8913c8e9".
Changed file "resource_packs/oreui/texts/da_DK.lang" from "e1b96a5708e7cad0744e0ea01c19c0e5a7b4762c" to "970525b2c80a9b633796db63f384b1c2c6fe47d3".
Changed file "resource_packs/oreui/texts/de_DE.lang" from "6c70f9e870d1cdb87e65260733e46bebb1ee75b2" to "4742195b022e47b97cf6d44c0e6b6a6d309d8856".
Changed file "resource_packs/oreui/texts/el_GR.lang" from "7cae36ba7bc56e7b5c31796d33c07c19b678cecb" to "d88664cb38a94397542c6291ea1473e00a31dd8b".
Changed file "resource_packs/oreui/texts/en_GB.lang" from "2a121bff257007225345aa5532cdbbd47d7e2a9b" to "04737db4c31cb9d59b22d13be787893ec970bcb7".
Changed file "resource_packs/oreui/texts/en_US.lang" from "2149d119ca8df182e727f64b02bb54e675676811" to "7ee07c59a2319fb5d4b2af9867e9eba0c6b9b00a".
Changed file "resource_packs/oreui/texts/es_ES.lang" from "3860c284f41d7be73131949c1f79f82be4adff6a" to "fd6e61f4adf5523dc9b9606b2241f33918d0fe98".
Changed file "resource_packs/oreui/texts/es_MX.lang" from "c4dfe8db8c45757ceacf58216b9f3519b4d10a6d" to "84cdd04c4becf4c83672a54b7cb51801d1bb8ab5".
Changed file "resource_packs/oreui/texts/fi_FI.lang" from "e4774bca5826dae8d7e36d15777afe3bcb5a737e" to "b0d32a0488a5753a77bba8baf7c4b696e96855d3".
Changed file "resource_packs/oreui/texts/fr_CA.lang" from "8fa077bef9e72b5ca51ded924109d8b9331a1bf9" to "bf1094d7642e80de44308536f1d2909cd5c38cc0".
Changed file "resource_packs/oreui/texts/fr_FR.lang" from "630c986b2fe55da27495bb2def8560c9600ed581" to "8209feec930dc3cc80c464163d8262d474940bf8".
Changed file "resource_packs/oreui/texts/hu_HU.lang" from "fff745235288e736abdabe3dff08630d2921298e" to "9c0ee5e2c755341c7ef54b1a9906681d288e381d".
Changed file "resource_packs/oreui/texts/id_ID.lang" from "64e440fb3afa8d3f91627e320782f6897d086e71" to "ec0b0e222359f7ecdd3fc0996f49e6495268f024".
Changed file "resource_packs/oreui/texts/it_IT.lang" from "875a63d3c21056a36b60c64d5adb3b36d7445799" to "7feaf3e0bf532cf250c7abd519126e81a2dd0d27".
Changed file "resource_packs/oreui/texts/ja_JP.lang" from "06f1c202f4c9f818deacfb9719738564f9215a6a" to "b5e91fed7acb805e6b4792caf4fb6a54b53e6129".
Changed file "resource_packs/oreui/texts/ko_KR.lang" from "89ba7f4d5ebd26ea63686db85912bf63a2ac4431" to "bf22ff757a22ae559177ec20dc743bfe63cb2688".
Changed file "resource_packs/oreui/texts/nb_NO.lang" from "6605b2dc6cbe45c20af5df755a4c3531f731b7ec" to "4a6d8cd4075ed51a59ead28b5c75afe8ebd0c2e2".
Changed file "resource_packs/oreui/texts/nl_NL.lang" from "a8601b5cab2b0933402a435fdbeffbbbb53e1127" to "ba96a28a8a86b00f07b6a4d399141d0811734aac".
Changed file "resource_packs/oreui/texts/pl_PL.lang" from "ae2dc1295e5ea5ab2f42b1c758aac53aa2495cda" to "77c81e75305f2c3527a227aed8bfec4f0c4db627".
Changed file "resource_packs/oreui/texts/pt_BR.lang" from "13ee057ce4424a66e9d6e154e0638f9e271bf023" to "784e34a233e5539401802db32415c96e16ec93f8".
Changed file "resource_packs/oreui/texts/pt_PT.lang" from "2d2ad2222d214c123222203555b9f3e2dcc31b3e" to "0e66793cd59a9e032b127ac615a59cbc140c95cb".
Changed file "resource_packs/oreui/texts/ru_RU.lang" from "f47e2022328e479155da6771926174b332617f36" to "abd4b4cf71654cb97a796b4e0b7b57d185576419".
Changed file "resource_packs/oreui/texts/sk_SK.lang" from "c39b94d07058d6537f5a2d147877598b9eb17809" to "6fad48ae983fb1064acc97ba167d5aea99965219".
Changed file "resource_packs/oreui/texts/sv_SE.lang" from "e2d26a35db6c113c2b362800b1de3fad5ab2d686" to "ed8c80a6c80efbc28b058d55718ad75737c17356".
Changed file "resource_packs/oreui/texts/tr_TR.lang" from "706b85e408da22c7e8e8165ec70038f240272c14" to "1e5e4ec8a752946bc23490b9641a2ad3aa7c4265".
Changed file "resource_packs/oreui/texts/uk_UA.lang" from "49fcf713a76271f9c72a144f3739d164b38e096c" to "47815f05b8816609a26633827b392c4891267537".
Changed file "resource_packs/oreui/texts/zh_CN.lang" from "7cedf571fc83325836e5ff283423a944b9fd53ca" to "9ac20fba0c69d3ea154101d44f5a293a02625e66".
Changed file "resource_packs/oreui/texts/zh_TW.lang" from "e344f09a7d3d37f0252b459829c79347c96a414b" to "ec9fc4dad8a8f82265c93669b449795d847b917c".
Changed file "resource_packs/platform_google/texts/bg_BG.lang" from "6c09632f552b043a5f495a7474ccc1dfcd08fb34" to "9a42b680d976e1ca3288c4f5131ea5602f199dc3".
Changed file "resource_packs/platform_google/texts/cs_CZ.lang" from "369bfa2e7dad4d61910164ef1d09a8ddd69d190f" to "a61f933f4d3953052424d7f38b4da82274e7454c".
Changed file "resource_packs/platform_google/texts/da_DK.lang" from "47bc21f1187d191d6dc7dae4a2297b00816cb7d8" to "03ba53691ba184bf0f33c8df39ac2a32f5e5e873".
Changed file "resource_packs/platform_google/texts/de_DE.lang" from "4f8aa78ce80253e8e2f62880f546470e80a76364" to "0c316c5327d867b7e31cbe9450dd1be1a845db14".
Changed file "resource_packs/platform_google/texts/el_GR.lang" from "436618619e4137c56162b2bc87643104cc15ce7a" to "2f5de28c4c056b2cc7e616bdd8c447c1ec2a1a55".
Changed file "resource_packs/platform_google/texts/en_GB.lang" from "3dc559a4f3fa3931f8faffbeecb7d493c1532d3b" to "e34856bf43b670e92abac11b25fab61b68441b40".
Changed file "resource_packs/platform_google/texts/es_ES.lang" from "7c503aa6ff5fcbeee227f6b61e4e864acf07a29b" to "5205b32df2fe3f8af083f00e10e68751bdb75b3f".
Changed file "resource_packs/platform_google/texts/es_MX.lang" from "7c503aa6ff5fcbeee227f6b61e4e864acf07a29b" to "f84bf98dee6a80a3b793c6973bbb7543430697c8".
Changed file "resource_packs/platform_google/texts/fi_FI.lang" from "99d13f5ff04da7ec90a96791cbd6299d551cd7c5" to "16ef1a31052ce3fe8e1b13d04d4bacbde8012c30".
Changed file "resource_packs/platform_google/texts/fr_CA.lang" from "695a619bacc21bbfa2c4b7cab0d8e4015dd8e373" to "42cfacd166f74db9dbb5e3660f7aa8fcdbfa75d7".
Changed file "resource_packs/platform_google/texts/fr_FR.lang" from "5d663b90b54c694bb4d27de3da517ff0b4fa378c" to "7b40b185f2c3bf290c08911857a190ad19130b40".
Changed file "resource_packs/platform_google/texts/hu_HU.lang" from "bc8a490ec6c0bc7fcab79532ab2a46b2587dba1f" to "28f4d573f5a0d14cf787825007ee0cdded7ea62b".
Changed file "resource_packs/platform_google/texts/id_ID.lang" from "f2426671a120bf29b47e994b38d05ffa64760da3" to "228dea57315b0b7cd25d1f46480195379803dc6a".
Changed file "resource_packs/platform_google/texts/it_IT.lang" from "6f62132f2c925018a485393cd8752ed19c382f9e" to "2d1d6e2b61d2ad1ebaec5b43f241137c5b501be6".
Changed file "resource_packs/platform_google/texts/ja_JP.lang" from "5ed394bc89cd4dfe197bce72ab0914775bd14324" to "13e1d6c6570ececf1916dd3d6818f980f0724ee6".
Changed file "resource_packs/platform_google/texts/ko_KR.lang" from "79a25e80cdce45d204ceeccb82a169cacf578e76" to "49c422154cf7a689d013de3fd317bbb981bc0d33".
Changed file "resource_packs/platform_google/texts/nb_NO.lang" from "14be5e18c911e046f42c50281bf3164ef3f3d69e" to "62a940495566e668fe2f0724ba38e9e818b5dbac".
Changed file "resource_packs/platform_google/texts/nl_NL.lang" from "be63ce14a9df4ec780a30fff948c5791d8d65abc" to "78c3dbd13b3bb817f22bd58a13dfcc9b5319ea0b".
Changed file "resource_packs/platform_google/texts/pl_PL.lang" from "5431740b773878d99fbc289bb5c984a40773daf7" to "70e982228ace47e9211b5ebb42d4ebec4af2634c".
Changed file "resource_packs/platform_google/texts/pt_BR.lang" from "81a99cd10b406a937dbe4ab157191e417de714b6" to "ce9afbaf8d3aeef058b0b84ce881aa37c3ab9712".
Changed file "resource_packs/platform_google/texts/pt_PT.lang" from "c4ba54e7853073571a560552a5a086067ca1c101" to "0dbeddf55f6bf371d1503c3c32a6a72401df5d20".
Changed file "resource_packs/platform_google/texts/ru_RU.lang" from "115fae1a5b0bf12ee54f353a816efa38e58699cc" to "9e814cbd1216fe265e9011b9316eeda8d450aa58".
Changed file "resource_packs/platform_google/texts/sk_SK.lang" from "77c790a85032665b9c7aa327cd22a998639a33ad" to "95722645eef2dc2be429592da4cd673c9d31fc68".
Changed file "resource_packs/platform_google/texts/sv_SE.lang" from "fede47bc4fa7c92f1f6acd6cb29084edc2e9c84d" to "bb0da32fc0235f3b28ced4f6a7d8f1ae14e7998c".
Changed file "resource_packs/platform_google/texts/tr_TR.lang" from "1dc6c916470c399869bb0d2b944f864dcfc507a4" to "5b931cf9d2317d0281ff89b3dc4dc5726258b7ba".
Changed file "resource_packs/platform_google/texts/uk_UA.lang" from "c7e78ac60e3c8de13c61e33f714ad3b426f47caa" to "66b7741b1f4ec79ca08927bbe237084282dce278".
Changed file "resource_packs/platform_google/texts/zh_CN.lang" from "5c1cb19f7e0da2fef63038863233c12ad7fc48d2" to "c8231e4161b587327adf923c545d66f3b0dcd5d6".
Changed file "resource_packs/platform_google/texts/zh_TW.lang" from "19b13b84250cc52d356fb9f12d7ad952f2f8df79" to "48436fa2aa3ceb6b7b5a7b96e075080867139e48".
Changed file "resource_packs/vanilla/texts/bg_BG.lang" from "236a4e800f360a187cf958dd95d8ccb51866e279" to "6ef556f7a6d850880e39df5095a34da2dd066992".
Changed file "resource_packs/vanilla/texts/cs_CZ.lang" from "24e5d81f041029e7151f25f17ea348e69c73dd13" to "5e32819c0dc465d939bb005142cb51299451d2a1".
Changed file "resource_packs/vanilla/texts/da_DK.lang" from "b2912d188e99f8ff3dd549d31b5ea2ed6dce8f30" to "eb3caced710ae70cbc3666bbb4b800e00a4c80ff".
Changed file "resource_packs/vanilla/texts/de_DE.lang" from "25d9ff14a4bbe87c720a59470b71019c46fd3788" to "15e3170d378a1bde5ceaaa83c603bd9e77e397fe".
Changed file "resource_packs/vanilla/texts/el_GR.lang" from "01711c85400e245fa848300add01c60076a37e01" to "a9b154f70697bb4f3cf1c4818037882d698f9943".
Changed file "resource_packs/vanilla/texts/en_GB.lang" from "df7a0ac0712fa78786514a7d65dc36c8f4e47b07" to "333cfaf8e4749d0e84d5179bfd28a8cbb2b73ea8".
Changed file "resource_packs/vanilla/texts/es_ES.lang" from "3aaf399cb15657eb8bccd22531067f9281676f06" to "f660409fb789f76b81da31ba6f1cd186672d0328".
Changed file "resource_packs/vanilla/texts/es_MX.lang" from "760dd091cef0ec8869c852a5b62f24b0d85dfc2f" to "0727bc74f8d5c48957ce2b0d977b713a61ba77e5".
Changed file "resource_packs/vanilla/texts/fi_FI.lang" from "c562d3bc3ea6c2a37da41d077f7766b0207864ae" to "1bc8d08e2ecc1e5687106207756db58c28ffd450".
Changed file "resource_packs/vanilla/texts/fr_CA.lang" from "ebf0fef672864e346c3efc1858ce3fc29208de8a" to "6fec61bb11f612f3fbfc2bf8a9c5abd612825166".
Changed file "resource_packs/vanilla/texts/fr_FR.lang" from "24f68e2e821d685ac7b0e274893afd76e8233a6a" to "fc47723136648b09caac6917d4c45dfecbfa0454".
Changed file "resource_packs/vanilla/texts/hu_HU.lang" from "d7f30a840be162f001ffe278015a2c1f600fe738" to "e8bdb2792907970930ebd9c83c93bc756473e5dd".
Changed file "resource_packs/vanilla/texts/id_ID.lang" from "9feeef8b6477e8f92e4425ec89ec8d71bee9f3dc" to "46bc23a7331bfe3f83b716f746535930ec495404".
Changed file "resource_packs/vanilla/texts/it_IT.lang" from "36115a01bc1df393a54ff47983cd92e8ab6fecab" to "c6119e89afd81aefabbefb12f97ed66706840569".
Changed file "resource_packs/vanilla/texts/ja_JP.lang" from "d7247a9dc5e8ce5c237ee62e4def0af89040e0d8" to "e3bac58e3931b1b83e5eecb1971e4f73f90cbabe".
Changed file "resource_packs/vanilla/texts/ko_KR.lang" from "7d200e86a655a0e0a6e404a3e17572fdcdb87de8" to "57773db224d2cbacf66a08e31a4173f606caa071".
Changed file "resource_packs/vanilla/texts/nb_NO.lang" from "af31afe634e3507e6399516c6e20814f3db3ba7b" to "34b03fce990d88db5c67dfb9ab3334451b373442".
Changed file "resource_packs/vanilla/texts/nl_NL.lang" from "83c37e2502bbef9490118682f9e1237f86d94f1a" to "7eafdf9ab683d12bab9cfcc7d0f21f3e700baeaf".
Changed file "resource_packs/vanilla/texts/pl_PL.lang" from "6140718240bc4cb4752dc5abb57783ae23370699" to "51cf4e863c809da1d96a68f7f411b0b939b56985".
Changed file "resource_packs/vanilla/texts/pt_BR.lang" from "e97de34ce0715433c5b04b8c20f8c0d1da1bec61" to "4961935775e28dc108c0e74cb7785995c4e9e11b".
Changed file "resource_packs/vanilla/texts/pt_PT.lang" from "2ce0d33e28bbcfdfd2df2301e134ba9e6ea97b77" to "c657ee8fc30e15655ba6483286bc81c578872f73".
Changed file "resource_packs/vanilla/texts/ru_RU.lang" from "0e93c5f9047f432745450ad25a6b79a16a818319" to "1f67acec6cecd6971b1fe868fa343f76c31e858a".
Changed file "resource_packs/vanilla/texts/sk_SK.lang" from "ee4bbd09e94d4b9f812696c71f3b718110b0b8c9" to "2e036d72b409ac8dab65ac4a0e2a37af1154d22f".
Changed file "resource_packs/vanilla/texts/sv_SE.lang" from "c89a42b3d6031cd6362dfc75a4df3fb32687fa33" to "1b5ccafc92992841f395e73f020515e90421e6b5".
Changed file "resource_packs/vanilla/texts/tr_TR.lang" from "3be9681fd217fb72790f0e7e3ae181cdbe90e3e0" to "ac814a3c256ced8d92d24e79ff140d74c04fe6ef".
Changed file "resource_packs/vanilla/texts/uk_UA.lang" from "7fbf6a8cb0090b481bca9687d30b95038b10e5ef" to "1d2cbd2cf874ac39171b4a8649ec0737a2390d80".
Changed file "resource_packs/vanilla/texts/zh_CN.lang" from "cb13f999863dc8a2dc3c5d2df6b3838ea166a76f" to "23e77a2abec1988bf7c87a4eab4f0c1f574fa430".
Changed file "resource_packs/vanilla/texts/zh_TW.lang" from "b6198253c39f030200f751bfa823defdb64b23f2" to "878feb6bfa0c2b4cee9066c2031ee6b30e9fcb12".
Changed file "resource_packs/vanilla/ui/play_screen.json" from "c5f235fa3741327e29545b96887ab0cebf4db892" to "441e9aae9811ee80089252ded7c5c8a99d96ff28".
