Difference of "all_files" between "inf-20100330-1511" and "inf-20100413-1953".
Changed file "net/minecraft/a/a/b/w.class" from "46e813d435b072a4a5fbb0ffa046e99e2e100900" to "4f719eb08132f551a60171cd0cc2d624b3533564".
Changed file "net/minecraft/a/a/b/x.class" from "ac4f5076605235a8d4e9ead84a40c0960914c57b" to "500cda4d75a4c00a2efb94bf4d638a1ff5ea0d85".
Changed file "net/minecraft/a/a/b/z.class" from "8e07d9e3e5a0f071e33f19f7f744b901266ab62d" to "b0a10e36cd20629cd24507969f971773b80dc811".
Changed file "net/minecraft/a/a/c.class" from "fb14245abd22d87b410f4d4292ea3a7a886ca471" to "4a357ec1c2cd7601039b07db6c0ec62723861e08".
Changed file "net/minecraft/a/a/c/a.class" from "03c2ee7cff5621284fcb3fa1af50e44afe3c53a5" to "3ae8531e5e4595b38ba6c543fcf39266dbce4b05".
Changed file "net/minecraft/a/a/c/b/a.class" from "d00ff74c16445811a1c1aecd408f62cfa2e29a80" to "9ddf2e9cc5f9825c6636dbbe8b484771b2dbbc51".
Changed file "net/minecraft/a/a/c/b/b.class" from "d887eb3e339017f1c7f765fb2d5ea1a52a8dbb89" to "a76623e85b621b782ed815177b6c90f139f4431b".
Changed file "net/minecraft/a/a/c/b/c.class" from "6c5b256a1855338bcf1b1a72c3f7486976c30f47" to "148c06c61b176cd70cc8d6cbf81289d841fb194a".
Added file "net/minecraft/a/a/c/b/d.class": "e58034e2886f212f2617c1a8940b5cf695701bde".
Changed file "net/minecraft/a/a/d.class" from "0d4d9d7e38937bd6f0563fb64622e3ff16289b4d" to "237f745c6bdcf6023c4c5917af8e9aff61c95d17".
Changed file "net/minecraft/a/a/e.class" from "2315f491fcfbfebaa52e6e4cc4b3675770ba2045" to "b1e35ab51cf4b0d3e5d64466a53dccfd8cd0d53b".
Changed file "net/minecraft/a/a/e/c.class" from "9f11f72e944297bd6e5bfa5d51993fdc56c19f68" to "0a38f0094b4fbb1e71347351ddc66525817f9836".
Changed file "net/minecraft/a/a/e/d.class" from "bf18abbf7140ab36439b208f98d403ac4eba578e" to "cdddd4477ea237ec59996420739facac32139de3".
Changed file "net/minecraft/a/a/f.class" from "d1727b2889b39d3a37acd55d95319d3bdf86143d" to "6462039cea7a7f5b69eb1b7695c8070e9e63c300".
Changed file "net/minecraft/a/a/g.class" from "26c10831134f8430cc485a21c67a4336c467cdb8" to "8bfca610486adf847d070c7d739a0f7de19790c0".
Added file "net/minecraft/a/a/h.class": "768013b52f282fc1cad0c0289bf5a008bec9951f".
Changed file "net/minecraft/a/b/b.class" from "8b8b98163948f86bffe908c6b880e535c99b3b7a" to "2f2151d7acbc595707a7507f316fffb55306eb3b".
Changed file "net/minecraft/a/b/d.class" from "79ba811249e1b976988da8cdb7b7e2d63196749c" to "f144b153b8b5bfc5abc73be3be485c08aa15abd8".
Changed file "net/minecraft/a/b/e.class" from "9f241f504a0939930ed116e5a227087d3f27c8b3" to "6349368b8bcea07aff69c58012205aa5e2d15aeb".
Changed file "net/minecraft/a/b/f.class" from "e040fa9f0ccc5bad16902304fce0cb68c58a00ed" to "d8755441731f5b08b9350798b0277aff91c04b1b".
Changed file "net/minecraft/a/b/i.class" from "8a7b6fafdfa4397ba707b3085949c7e2de26d3f8" to "54fe991b65d6282313794783122c0e3ca239a344".
Changed file "net/minecraft/a/b/m.class" from "6252bd1c26131e11ab582242f5febd474f747e4f" to "e6e41e51fbb3ce48c149ad1c09a8ecc3502a6b7f".
Changed file "net/minecraft/a/b/n.class" from "c3d04bdd27c0aaf976920505e93f0728440c17d3" to "19d2a1f46123e05fdf3f5d2b028e0a8a88e2e66f".
Changed file "net/minecraft/a/b/o.class" from "d7a3a3e6f4ef96502606c042df90a348a9ba50e1" to "49c7c3dec604fbfad93880b423f3c9a364e89f0d".
Changed file "net/minecraft/a/b/p.class" from "450ba0c81df3f4c0d36cc169b58fa7bbf657a8ea" to "ccb295e87291043342c82204d8d96065dc6e77cf".
Changed file "net/minecraft/a/c/a.class" from "e0de24c27ee53d32a5349f78cb9221119d9d48d9" to "c2b69e65905cd1580d18f3eb3494b5898a3d7f39".
Changed file "net/minecraft/a/c/a/a.class" from "2961f2683fd810cc7c6921e2f35c9dc09e9122d7" to "b75a7f71aaec173d75ddbe52e73ef6d11f1a60aa".
Changed file "net/minecraft/a/c/a/b.class" from "f1c466577663f363b2bfbb3ac5377af23ae9cb13" to "9734b10e98ea1044ce927b16ff553a1991f63242".
Changed file "net/minecraft/a/c/a/c.class" from "7bb37d8bea2718f06cfd124acd9c3801d20e0c64" to "1f0202d39694b5a20c1563e02354788261408e9f".
Changed file "net/minecraft/a/c/a/d.class" from "3703d984b0fa426edd2981fac6fc43d29c985ca4" to "f8c10ab9a2041b7c6ef81374da3c34b48b24dd8b".
Changed file "net/minecraft/a/c/a/e.class" from "017188efe53afa943c152c03a5e8b9fcc9be3745" to "3686db8872f039821b8dda45cc6d6034f886edc0".
Changed file "net/minecraft/a/c/a/f.class" from "b9485075dbd9f23e825782fb3c8152a31186e48f" to "2a86bdc0fbe9e417f23741be26101d4f2c9ed16f".
Changed file "net/minecraft/a/c/b.class" from "6c211b44c7cfef23897977622f95bdbd673dd456" to "23beb25ffc0e5e9f2cba562778246207785d1c7c".
Changed file "net/minecraft/a/c/b/a.class" from "fba0b2483c59ee29c4ec76cfe665aa9fdeec5003" to "0c4edc8a3a7ca7bdc9b15712bbe10c735030d011".
Changed file "net/minecraft/a/c/b/b.class" from "c0c6d840cba238747c1451d8d622bdbcc410dcf8" to "bd55687dc77c7a58f30bc07d6021bb12cfa39670".
Changed file "net/minecraft/a/c/b/c.class" from "69002c94be81ba2536383e31ef6bb0d0381f405e" to "3b25bf7dd72aee8ac1a6a6205737e7d0496b2ef9".
Changed file "net/minecraft/a/c/c.class" from "08eae0f8da459f3d982c3f325fff917dfe2ea1a7" to "27203dadbf22f05360b2d08cdb461729ef0c312b".
Changed file "net/minecraft/a/c/c/a.class" from "e6fc1f863a0787253f43e3c1c9e707fa8367c7ac" to "8c5082ae655f97224fef55a5c6671969488a39a5".
Changed file "net/minecraft/a/c/c/b.class" from "d78e866cb454d47a24ed0bca18684144f0504b8d" to "d1c7903046d0fd5d34b3b73caab0c9aa21c23bd5".
Changed file "net/minecraft/a/c/d/a.class" from "0e7cf26f02399253f4877c8cc9a5efdbddd29389" to "2bb95d3014e226793064f9af223b0bb0351100b4".
Changed file "net/minecraft/a/c/e.class" from "d9be252cea72a4fe15077a70b930d97a319aa230" to "0607e9a8a597f7d75f370d7aff3cfbff6a0f46ef".
Changed file "net/minecraft/a/c/e/a.class" from "60982d7bb5a6bbc6931163d46742f0ce37808b35" to "6e51a6660166c7d45dcf9ae15f3b9cfa02ccb939".
Added file "net/minecraft/a/c/f.class": "528017846cb8d8fd10e696e81dff92d2b44d239a".
Changed file "net/minecraft/a/d/c.class" from "a288aae6687471d3ef3416f6f7550f162aeaf107" to "65e605a7c034bf53cdff0ad74905abde551826ed".
Changed file "net/minecraft/client/a.class" from "47b850e5cdd03b797c1d16c4f774daf381bc822b" to "e6d3ebf7c9e57b212f0ec84a1e2b02580761dec1".
Changed file "net/minecraft/client/a/a/a.class" from "92a40801ee3e0e8ddf70eab139d21057f4e4c4c1" to "2037e3415c8eacc906603f6accdda15e3409da02".
Changed file "net/minecraft/client/a/a/b.class" from "385c872a5af9acbdd44bb274b04c354bb3dbc5b2" to "936e25e8a68b803486410cdcc564c90e4072280f".
Changed file "net/minecraft/client/a/a/c.class" from "6372da88657df1fc4bb5233e6df3dff6009ed8b3" to "dc44be16beea769d212d2d5ef312758848adaa6a".
Changed file "net/minecraft/client/a/a/e.class" from "5083609324ea27743938dce94576538fd7bb68af" to "facab4e47dfa45696c14b1bc13138d5b1fe75e3d".
Changed file "net/minecraft/client/a/a/f.class" from "416fac674c24183e8e0f34dcfef1fa68cea675b9" to "4a829ac5bd15db5de178c054558c934a8c0c8c59".
Changed file "net/minecraft/client/a/a/g.class" from "7dd94701893f9cfc77cd8ad80e508cd117803e31" to "91252ad4ea4e926b7d05014a2e368d74dcf73e95".
Changed file "net/minecraft/client/a/a/h.class" from "e37bc7917da35d7625b0b875bf5d250643bc6a06" to "60b741ed9b8856c3ef6573414c5659457494bafb".
Changed file "net/minecraft/client/a/a/i.class" from "7eec8b4ae182263babdea618d9cca85d21d7a50b" to "654fed4a8eac3148320d564e3852bc5d84a88878".
Changed file "net/minecraft/client/a/a/j.class" from "8195cf26e0d9471e9eeb3aded9777ef627191164" to "82c04efdb7a01c82fc52e2d26e8bda4c33ff23d3".
Changed file "net/minecraft/client/a/a/k.class" from "7afe9597796a3c5aaca3f567171922e72cb1cacd" to "ee1ef933d47969209de7286fb7c81ae87cacda7b".
Changed file "net/minecraft/client/a/a/l.class" from "97fb6be0a4c11a2ea1b04ca28847dd53d69a9103" to "a2c1fdf1c48fab22ce8eb64195408b5c139af8d7".
Changed file "net/minecraft/client/a/a/m.class" from "5cf816c12c5fe0887ee28e1cef296eba340842e8" to "09fe205fb305c1c03e6443cd738e221654384e6a".
Changed file "net/minecraft/client/a/b.class" from "1c619312dd570b164dd4bc6255f41e6c8a37162b" to "4552efa1c37201e3ae4d192689de0b087632cec8".
Changed file "net/minecraft/client/a/d.class" from "f3c9ecdfaa144c3618e2e58feab5e6a502839c2a" to "f88d7c901234c9a0e2866c10055b7f403c9dd178".
Changed file "net/minecraft/client/a/e.class" from "06565f71aa22640547c186eddcdd24e7fb71c96b" to "6201500d8946960569db716617e3e7c94ae84f30".
Changed file "net/minecraft/client/a/f.class" from "28b82bb849d9a008493f288ff930c9501a5e2660" to "1fd9a0a375d70e67bdd8215f1fb456363bd36849".
Changed file "net/minecraft/client/a/g.class" from "b02352bc59a67663185c2c8d2e6543ac95f00d57" to "3519fdb955c5bf253c8b1d6710bda0bcbe3e090b".
Changed file "net/minecraft/client/c/a/f.class" from "587ce68fb287d3af9363f1baa8567a2ec84638ab" to "96b19f1a5722d0fd0a45c32b4609c3b3f992016c".
Changed file "net/minecraft/client/c/b.class" from "163663f2cace0f2718ee72fdf9732127fe761e29" to "5583b2df108432a84b94ae2039e8c4427b2e6276".
Changed file "net/minecraft/client/c/c.class" from "3876e7562ee561281b3447d34292ae4aaf991d1a" to "98dd19d430367a2ad85ed4e10662ffa9f9ba3d3c".
Changed file "net/minecraft/client/c/e.class" from "eeb1d7e33da8450f164dc2de7feae9baaafd9d40" to "5a42768e7b773ff4fe6fbf75b90f69556c1a9010".
Changed file "net/minecraft/client/c/i.class" from "109f284e36f3bafcf52e122d715fe32fa96068a9" to "a224cbe597bbe6c03f2e413171bf2fcbcabff9d3".
Changed file "net/minecraft/client/c/j.class" from "d4d823cf5b3435c4904f793e2cf220be3e241b93" to "0771ea7b881fa75d9785cc70e4bc786ffdf61e7b".
Changed file "net/minecraft/client/c/m.class" from "14c89a9ab5f36901eed41421f8f39a90f9e8c575" to "aa0953c6eba53bf1870c76cefedb353ec0dd65d5".
Changed file "net/minecraft/client/d.class" from "0e4ada3cf8b053a0aec3e06f6bb14fa2ffc20ec5" to "c4e2c55210f7ba969859673d8406baf271f98398".
Changed file "net/minecraft/client/d/a.class" from "0bc1488de692c1547dab8d7da94489ea79a40bab" to "d5ddad01076e8e55ec792b5a0d753c2283e34941".
Changed file "net/minecraft/client/d/b.class" from "d7cc359388801da47d7e6d1b06e092f188bf3b93" to "4a769549fa03cf502acff2622341287c375e581a".
Changed file "net/minecraft/client/e/c.class" from "d3be6a83c9c53db24feee4bd6ea2787435db26f6" to "cf6240775a13484deeacfd0573ff1518ca3aca84".
Changed file "net/minecraft/client/f/a.class" from "0760b343044fcf45676325da349107f527791fe7" to "f88f9e90ccfb33317d457600a2b8170f8edc2202".
Changed file "net/minecraft/client/f/b.class" from "0f23a73a28ca90b054027e4e04a88109fba20856" to "c3dc34b4620dcd2ba897ace8cee983ae6d6e8901".
Changed file "net/minecraft/client/f/c.class" from "4ba6eda1e839758dac84bb5ecd8327b8fb15c263" to "fa5253fb9832277e0d438b40e9dac085f4ba7467".
Changed file "net/minecraft/client/f/d.class" from "e447f0bd0866478b1489a16aab7cead58bbc342f" to "307f98bcfb4ebe8b132de0e7b7eb8fb58c523fd5".
Changed file "net/minecraft/client/f/e.class" from "8eedb9b432a6ed8efe77d567e3d14a003e1d9617" to "9b29b0a0a5903b09ad8f4ea27fdba1311d1b3e72".
Changed file "net/minecraft/client/f/f.class" from "57e916bc32f892de305cd5643781b3150c176b00" to "c4eb662a7f24ea0671bb8ccfe66d3cfc264f0d2a".
Changed file "net/minecraft/client/f/g.class" from "ec2c68be1cc30c19c7860289d979a395d5b2ab9c" to "55a0908fcf0b189de813a37f1e9ff64dcc6c4680".
Changed file "net/minecraft/client/f/h.class" from "9c24dba3641aa802e6a28278e5720b4426881c11" to "f02df71a37d7acfa99e5b5e5c8d4a643188acac6".
Changed file "net/minecraft/client/f/i.class" from "96c230f5bd5da29d65997a56fe6cd3666461c26e" to "d2fde2cd1c0fc07a59290ac8be98d5406be7f379".
Changed file "net/minecraft/client/f/j.class" from "bde74cc8d9e65499699ef73c1a5c424b0ab85545" to "ca0c7bb2c0848b08d983ac686c74ffc5a09dc5e4".
Changed file "net/minecraft/client/f/k.class" from "44d06e031a9607b57e429fbd11c4cc6cb7dc9252" to "311b34f94b38e78ee59bc5f35c41d87934f78430".
Changed file "net/minecraft/client/g/a.class" from "be19b035733eb9ce4c90dce1f6db739514c52481" to "c734c16326705c6035b20b40dee5be29e6dde34d".
