Difference of "all_files" between "b1.4-1634" and "b1.4_01".
Changed file "iw.class" from "a4463ecb0a9ab9b574bd3e0972dba542e1b64bb5" to "3809f2e6de39c4ccf6627c1497f542819f823b3e".
Changed file "jg.class" from "562a9dd8dbc6da52a3bc79eb7f77315a06c46f9a" to "e11b4d3abf48aa60f47cd67cffe1b001720ccc35".
Changed file "jk.class" from "4d2b201a8a780548f881083606d528761636647c" to "b06e6f4ceeed1df3576da265c4afe01193797c26".
Changed file "jm.class" from "ef3806361d50344f2b6c7bc4d9d3cb666132798e" to "5207664c6b5206e69ec487cbc4d9f80f87dc4a71".
Changed file "jp.class" from "54915acebb409c8cab01953c2e933875779f1a7e" to "a5a04e49d7bccff0335f0b625422ef1a0bbaf966".
Changed file "jq.class" from "aa782b1e1e2db413e022809950a8553b11063426" to "432c6befff789ccf93fbe157df5bba647a235a89".
Changed file "jx.class" from "16f5a6cbc30786a88a097c92f52ce150b3785d7b" to "73be74446ff556e1570ef7b3bd4a5ee170c2c15b".
Changed file "jy.class" from "82bf1497b0918483b38801d38e7126d333518add" to "4998a5fe658c2032f4be8d8380ee59cc78f3b560".
Changed file "jz.class" from "0e5012098282fe64a685fa8d1e4a1a533177bb66" to "b549c348bd34b2dbaad6bfad009c6f2c6c2a91d2".
Changed file "ka.class" from "ec0cfc7156074424a94172184b5cb4d783bf5992" to "a6a56fa9fb2d93a87a1d284124063c3f51c51351".
Changed file "ke.class" from "e2f9ef930195da08613efa95669987160fcea6d8" to "08f2f63c669b11a1d71f7f68c123ffd3ccbbe0ff".
Changed file "kf.class" from "03aa6b9269a56f97616e5f42060aeaabfe848e87" to "d6f85bbfc24897e045f6850d94ec6f788c058a68".
Changed file "ki.class" from "df60c6aa3e760a9c15c2d448d66f917ac19d6b3e" to "97d1dff88fdd50326e9ddd0c621df66e28cb5ba2".
Changed file "kl.class" from "0fe056b4646a399e65133f924878b00eb9757804" to "07b4371ddb2e7c2777335022e6fa340399c47083".
Changed file "ko.class" from "92dafa99a0c080b03527e5a554db428b094bac6c" to "0e0c46c83b3605f9d5e8abd5f245fa4a30b18d83".
Changed file "kr.class" from "68533df39d3e1f4bd534ff1f088f9576dbb451a0" to "677f834ba8d89c2038069a9596b1f11f39ef848e".
Changed file "ku.class" from "59ee78aa8b7880c937f40e77973d83bf12e6c18a" to "6b789a651661b9b9075675c8b0cfc3b7fbc6b674".
Changed file "kv.class" from "66eeb3163d0a64e6426901d64b4a66d4145f3221" to "b727a202a2ce2013d72cff214102630121f80a85".
Changed file "kw.class" from "cf9825dddd6d44a461dfdc831c1d9647aede0048" to "425304dac54facafcb4aa62012bb1ab0cca5d821".
Changed file "kx.class" from "97266f7e67ab09230ac775a608ee1644fde64b4e" to "3d1d15857c39a228bc8d3d54b4c5284829cf1473".
Changed file "lg.class" from "e8516f784bbad98b004cfcf67d4a75496050c0b4" to "081716aedaeaa274e3c40ffccb9a9ed106e35e38".
Changed file "li.class" from "806f840163a507529173c7dbbf6d9b4ec2b544e4" to "557dd911b21c8d6b099279eede26ae3b822b27ba".
Changed file "lk.class" from "bcb4d0d46bea1ec6346e0375f02c6e9e0780a786" to "72308c1f994bd42f603a9e00927576fc0be4c2ba".
Changed file "lo.class" from "7585500b95f0d54b8b729d8bd5f51cfd284f41b1" to "45c588e74e62ea273e947aa20fc4ac0dc4c18edd".
Changed file "lp.class" from "ae6d9424b768102a01f33cab71cbbf42d5f0dc0e" to "ac1f6e1662fc203a0468213e36df03bbc206503a".
Changed file "lq.class" from "371f1bf62dee039ebdebc6c3b49be7bda09a6884" to "f05cb03841d507343c17f4567bc457a9981243f4".
Changed file "lw.class" from "e11754b64f2cad0358d5958cdaef329b98c6bdfe" to "1184aa12bd02a7096b52070462f2f29fff804e19".
Changed file "lx.class" from "04229c2057babf877ee9873ddbc07b804689e79a" to "9f9d14ba53df31581eedb297a4e209934dd27b28".
Changed file "m.class" from "bb649df6e11352c9cf44fa8d5f8acf99fdf64452" to "11daec0414c1e913feb62a1149fa0b85103c5905".
Changed file "ma.class" from "12f1c64c789212d5d358345890b8ca03f9bffdbd" to "af98a3915001488b8c6c39a256b60dfb8f084278".
Changed file "md.class" from "d9b45ba1d96ca362710198c436af57dcb2903e4b" to "bbfee85c2762b86995d9d3451bbfbb0a330469a8".
Changed file "mg.class" from "a890516f7e37235d1860c543ea9b93dc1af64040" to "dd97fc2100a38edabaf251610db211dad491fa9c".
Changed file "mm.class" from "fcf36952caf6e79c0e00db88391d27e1338dadf1" to "7fcf092c56d68fca7d4f07ad0d340dabb8f51cb6".
Changed file "mu.class" from "b5c82f29de892c62f3106e56cb3a3d8e1c3fc639" to "c7b4e96835c912278e89f3135203b3b57d8417fe".
Changed file "mv.class" from "526abb45df1bc55ba4229ec147f13e290d53f291" to "bfb27ab46206bd5ab26a1f9a6db181008c3a2b22".
Changed file "mw.class" from "98dd36cd495a3c791adf826bd2dad851cb1c91b5" to "f9835e9abb357f0b6bfca74e27da601aacd31df6".
Changed file "net/minecraft/client/Minecraft.class" from "a08977852a9e82b48be4f7bfcb6cee55951314ed" to "e7d7bd6d8fdce8466b102cc7b6f931a17460972f".
Changed file "ng.class" from "2b5770b2404619eb406ed05733d697010e4576e4" to "6a130dce446d697d95a37d09c7da5cc76f3100c4".
Changed file "nh.class" from "d697f9142254e0031f9f07c7457e414163118486" to "b152cea5a2bdc9c4a7dbfef093b6e257f2d066bd".
Changed file "ni.class" from "8e799bc43ba530ea68854b313093b2588a77d2d6" to "49bd36ed8558967ed4cc3dd804c36f69481e585a".
Changed file "nn.class" from "13111b021ee96884e38751dec72019524714564a" to "e56d3f9e60c5f457df493279ba1e599dbdcaea34".
Changed file "no.class" from "dde8494fde2e1dfdfd7e937138327ee0a12e3b91" to "35c64ceccf7a19ae0a7ae50554771cec964fe7dd".
Changed file "np.class" from "8ed98208574af99f00e765bdfe192c592d659098" to "bfa8c3545a994c48e71158f0df9e15b4e2843d89".
Changed file "nq.class" from "d0f13d3a0561fbcd41ac876d258a105d4dfa305e" to "dbdb9abeb3ab2613135886e60a0a7188874b9c28".
Changed file "nt.class" from "f0eef9bc68b3b608a95658d99131f7f21127d86f" to "2e5ee6744c8683087255f2777ee0ec1ae813ff46".
Changed file "oa.class" from "c2cd9307b0d899d4830503da249ae280472f85b4" to "42dc6b9d96206d84c5022b0d7153bf1df1ecbcbe".
Changed file "oe.class" from "08d5ba3b922e8ca312b058f4b41642d107d0a04d" to "47da8b6178cdc035b8cf876dbd23ee011aecd280".
Changed file "og.class" from "c80042a0d19be70a1e6f0c8c1c1cd22632ef4464" to "0e040cc54d25c0e7ca20a71c3473e78275e9a230".
Changed file "oh.class" from "6c5d6e1ab0670bc92aac3cd4219cc2d3a9328b4e" to "04d3cc7434b05da4881476edb79a06f24e1fe468".
Changed file "op.class" from "ed65ef1af93a8c5a384de62e2ff77444a43e2be4" to "90ab845a07c9a4f4652f2b32980caa94d72f4cbb".
Changed file "ox.class" from "7ea7c580f85b1914fef6fd6aca9e4924e50a30bb" to "7ae8d0ee1ad6ae9cd281f896c751d4aa12ddb5cd".
Changed file "oy.class" from "e2ce81602f87d73efbdb7e337a4b82e75b79682c" to "abbb016a127f5dddd675f3c48ad154126d4ef396".
Changed file "oz.class" from "88c1beac88129c350af725e0c92c83a5c7ac0602" to "beda75307cbfa518e03be9b26f466747331b34db".
Changed file "pa.class" from "a76cb3541debef30b22bec0c6113bb3335f07439" to "8af8b4ab05bb2b3ffe0158b937ed7f86ee876d27".
Changed file "pb.class" from "a4c3418d471ca7132aa7198c87225008b23f08ba" to "8817fbbc9585a55422af15b13d809f7b040fc6b4".
Changed file "pe.class" from "88769b593a1ea6323e265dae4ce349ac4407bfc4" to "f3577b84b2dab2913d55c2a2132ab66fc2609198".
Changed file "ps.class" from "56403ed9bafa008146a9674f430eb7f7f5824ae1" to "1a47a67641f0231086dc0e9cd01bc84a7a0fe775".
Changed file "pt.class" from "23809217e443b808b5513d575ffd4d1c4f2b0951" to "75cee00df7fabc77bdebf26617c1e9d1bbb71d87".
Changed file "pv.class" from "7e0a050f1a2fb1146d4d862ca626ec942d701dc4" to "7789378cf78fc2623796c0b5b56fa533ccd068d1".
Changed file "pw.class" from "518a2dfb3ec7bf561045e7fce6deb839b0e05064" to "9bdb470fa061da0ecea3d3ebf174d90914350622".
Changed file "py.class" from "c4a37632c8b2f0db006e139c1a99a2dfaf0a2332" to "d150db684aac16c092b642f72c40fd8f22ec9628".
Changed file "pz.class" from "7486bd00d50fe479dc6f1ceae6b02147014a0fc1" to "0c20b971c8066ef9fc66fa9b1236664ba07d709c".
Changed file "qb.class" from "1c1f47ea8e365a44574ae111aec2ed56d31a293a" to "8dad7621f17ade7da4e23fe6f3bf2c9c7430fdc1".
Changed file "qf.class" from "a28f1d32ac3ee0abf4c1f930eb59aeda0ec89c67" to "7273e5193fca3d582046768d045150aaad7ead20".
Changed file "qm.class" from "ee67d04cde949c1469a8237a4b13c45c9989f88d" to "a777655bffd6e49a5f4ae792da94939ca3ac769d".
Changed file "qt.class" from "73263b9b404a6a86b968f014b7910b66d4c3748e" to "147cab53dd825cf29772819fb86f395c4836b68e".
Changed file "qv.class" from "595dd439a3044234500eba931b92cd220cfc93b9" to "a0ae51a6694374a38a3c712dec40e6d30bf9e0be".
Changed file "r.class" from "92d1aff14574aab2083525214b22778828e5df21" to "b1ce68df10e63dc416c81bbd6dcd50129ee8022f".
Changed file "ra.class" from "b3f95ffa1e565478d349044e7ab4887c2abd787b" to "5028a3b51fbe9c5963f121ad9c8232d9891fde5c".
Changed file "rb.class" from "fc2997f48f19c96c3940ee5ba9235b4af2b1c91d" to "7a7601eee73848ede1ee5f07ffcf4ddcfc2223e0".
Changed file "rc.class" from "f56de672aadf251e61be2978e4acaf175d58223e" to "e3614745b1d52a1e2a458aa6543e36f5eed06734".
Changed file "rl.class" from "0f2bd91c6b03e6f1cddc92f824924f45d4754d4a" to "af85c315da12ab4c0b95a52b2be0cbbd4fe0ffde".
Changed file "rn.class" from "3ede86c10c095caa94fe4d21b94a94b38118e8f3" to "47f3d2ebd18bc8f5791f4fc524959c9311d820de".
Changed file "ro.class" from "13b5b04bd06711d36c4a5c77c58fe07a6589f276" to "b13e1d9f65d4ef5751e4b2e3fc046c6ca3f01779".
Changed file "rp.class" from "5ab9ff43fb1515eb9b0c63abc4170bd139b8de3f" to "0db150c16e08cb66ff9e889f7e03f9aea530d498".
Changed file "rq.class" from "07d02778359cde839de088e6f2f6ee91e1e44998" to "8a4328f4c8f88d651e4443e7917952e9beecf4d4".
Changed file "rr.class" from "6aeb6197ad672ae23218b3fcd1266578415769e2" to "8590f167d6fe1911b258b00fd5a91470ec4f31d0".
Changed file "rs.class" from "024f37ca27e70752425ce0de2b71967d87922ab3" to "ba067bd9666e920647edf5bf58d7b5cc269b204d".
Changed file "rt.class" from "3ba1628a15efa078ae7ba0f81b99343160b9c47c" to "58c81b7ac3ca2c5d97813f5621fcecfc377eab98".
Changed file "ru.class" from "66b7b782929f113519eb9f1a95dbf70aabacc871" to "617d3a3a9e6b561b2fcf28f8634ce8a680c66925".
Changed file "rv.class" from "41d4ab4624888a319e5132e088b62baf183429e1" to "95cef062fa2af02ac1f105dcf0316c79fde533c6".
Changed file "rw.class" from "3f87f7cd8111764acf1a31b1dd13dd17a3cb6c98" to "ecb5ea952b059961cfa65068b3a7167cfdf953f0".
Changed file "rx.class" from "d9e09e100c0fc2896b4378417c35ebcda75f296e" to "8fcb0a0ef9926cde13e0d1023719c1ed341730e2".
Changed file "ry.class" from "779f2f3c31e9176682201c23863f89b640179aa2" to "9bf2281b302d18be0def0891cca277d5339c7820".
Changed file "rz.class" from "86501cb6eb39a0a771e28661245c56b76fd36c84" to "c9b433e7b57525076de9bb94106f9fa555a69246".
Changed file "sa.class" from "ba4eb24fa2a8a727559a7b741f54527832d2ff22" to "f5b430103518853ec37bbd2d3bb5a2deb75a7f90".
Changed file "sb.class" from "fdc5ad4850ac0dc644d67a6c5eaa1ef3c129b904" to "856013444a3f2328df1d7fe299e97622c9129abf".
Changed file "sc.class" from "cc2fe298e2c391480294d9e998ef24fb79c47013" to "b0f6b14c83c9dd10e36849bd4e9c337a6e75b5b2".
Changed file "sd.class" from "23bf9c7adff2f28395a0b7d61475d5124bf1da7b" to "5c471ad360ffb36070d039fe8c8ca83013604b9a".
Changed file "se.class" from "304e21142306eb50b46ffdda0704823e2677679f" to "f5f5a0d634875b8ba9d05b2a258c1f9d77a01ea1".
Changed file "sf.class" from "16fe3777c4407a8676080d9584606bbca79e2487" to "57c6542eb05e78cd49086b7d44800d3591cb2f99".
Changed file "sg.class" from "90416853733ee6b59543fc48b34487c3fd9a38d5" to "d16b993007466f0bfd015f62812a4e08e5676f58".
Changed file "sh.class" from "3c1e375561f9217f4853e46c3648491dae684c59" to "a30196eef14fa45c477a76f8ef04e040cbee1bf1".
Changed file "si.class" from "a2030c0d6eb249b1dbc25899f2cf98833cd79a18" to "ccc14c4a213efac685f3a3a4a7eee00a95e80d78".
Changed file "sj.class" from "9f280b38893361cd910e21daf6d397e828e9bc29" to "0f201f67a70f79dff4821feb08d9d1bae86e7d7b".
Changed file "sk.class" from "c6a2c6556f31c3039799c89da89af6456ff5d5f4" to "d0b7f9ab95bb704660be78270d4eb2b05fd84a52".
Changed file "sl.class" from "7ce567d946cfba0d5f860216af8fe1dc485b63c3" to "f376c5969799ac12a456037d99744432fdaf7093".
Changed file "sm.class" from "703f2c484f36d5cc1b9b5226a41cdb0411c9e154" to "136d2d9d1109d9a1e8e78da208b596639a900bfd".
Changed file "sn.class" from "63916152ef1136b00ef7c28908a70aa5230ef10f" to "9c6d588fa0926dd73a8f13a27f6bc38eae3fd54e".
Changed file "so.class" from "9d9e09ddf9a982ebcccb2112cd54302d3b3a9a2f" to "111678fe45038e2266032c574773a72bf5f6016c".
Changed file "sp.class" from "b688377b4f8fc1c330880f34090b83fccb9dde1b" to "a42fcc04dbda21967ad040f0b5bbfb84fb97f7f1".
Changed file "sq.class" from "fe1adb15b6ce6ae3b93612c471a875e9876ee3c2" to "8119e3c44100b1e29234c772256db2a6504421fe".
Changed file "sr.class" from "1fe287a5f601e85b15fe72181c587b0dd7072c25" to "2919296d0ff88cb12557166f4235df74490d07a7".
Changed file "ss.class" from "df9a76f7c714b2898306b682ca6f021b815a7df8" to "d8f3d200b369a9282130f449da838050f865101f".
Changed file "st.class" from "678adbb5f554de64c43d9306f6ee5166f4a74d09" to "3dd53eb4de1a05296e6aec91c27cb00b9b14fc5f".
Changed file "su.class" from "37beeab5b2620738206a9f58090b5cac8c63e500" to "69ecf710404ecbc6d541e1a219e8179f8714a889".
Changed file "sv.class" from "7227d35e26fcacde2496b4b7b966b0ef464798ff" to "91d08f8e9a428aa62a61c69715bc2b989b03b4ff".
Changed file "sw.class" from "ca6b2728a1dad7791ba45a115945e8ebdbdf246b" to "bede99e6e557912bd9a3cb60fac04fa17bf98884".
Changed file "sx.class" from "27050b12edc62ba6f92ce203b70bdcb88ed43013" to "77e5f7a5e91de1261203a92e9adc8c8dd8496523".
Changed file "sy.class" from "763fbd88a3e48a5bc5b4fc53a848f42aabd036e9" to "086823aac3f1802260244a7d7f9b70b3727969ff".
Changed file "tb.class" from "6138cbc186ab2e77a90b573906f9ee6b6f45a9c0" to "50ae73ed7d47bfdee15b0d53d685dbb5e900dcd7".
Changed file "te.class" from "fe625b9fb9b491d21232c96a9388b8803ec444dd" to "82e352f5581e73676f0dff534f96865f9316a3bd".
Changed file "ti.class" from "6564c3c050e52b36c13aa2e35ada9ac6ef7c96cb" to "b39175fb1b896f85751aaebc035c710e5ac2bc98".
Changed file "tl.class" from "f43931556e0314601694d78d9961ab35a1d4af7a" to "90e88e2cf77579fc1c07b098c2ed429f343487d7".
Changed file "tr.class" from "b213f82bd1914706d7b0ebf10f6a647615662e13" to "e9e89c8aaf2d9bf2074348c3935fe4276e362adf".
Changed file "tt.class" from "0f822a51eef7c1ee1440e3364cb3661598ae12a6" to "0f22c2a55dc8091a6809cdeb3338a043fb481e28".
Changed file "tu.class" from "1577fcd3397fafea7a11401f59c9b603b5e68335" to "576dfe9d4990c524226f63c08e67d7a4d92f8e3c".
Changed file "tv.class" from "f7a5f91b14dc5299d8ec252d4f65da04ec63060d" to "b01e28c604c323f756646569d7c00a0e8b0640de".
Changed file "tx.class" from "3aa658efb472e0f4b4cd95dd6eecd8263f813e74" to "8c084b5a1730625f5399fa1c52431af6fe9e1766".
Changed file "tz.class" from "5f54e79ed4f1cf7a42c19a2850204a8c46868bbc" to "54ac65c15ca47da789271104c2dbfcc6d788f150".
Changed file "u.class" from "8bf3fc582cc15687457bbca53798a37c6495094a" to "e0c10c992cdeec3c0ded8ac9996b873472624590".
Changed file "ub.class" from "6e8eadb16f03c1a47c8405eaa36ebf1cb0759035" to "24edd6ac202656394f8abc725b3ebf1ca47170a4".
Changed file "ud.class" from "3c893659fffe1cb3b09970e3e82d4e5b2db3422e" to "456711d8bd8b7a984dd634fe81b7af55707edfd0".
Changed file "ug.class" from "0c024ed3330086f99c6bab073ebc99ab7409d645" to "f2ba874eea22e29421bd751020aac3a8f8619925".
Changed file "uk.class" from "189701995455c5cdf1f3cb0dddc29a60d9e9b8d1" to "25b7caeac272188a26746979074aed4a82be95ce".
Changed file "un.class" from "bc2b170ad04b576cd7d7f166d987c03ea78b9910" to "4be8d9060b4feb732580fd12c92abf2f38ed1f0d".
Changed file "w.class" from "e0222cfbcfcd214a499f7fca39c2585c7f131776" to "ee28ec9fea749e5e31dab11b5190af99c0146a5e".
