Difference of "all_files" between "a1.0.6" and "a1.0.6_01".
Changed file "ch.class" from "a4fe67ab7047de5f320dd3855f53d616be58051d" to "4861f6bd7213ea0f6d3e2a883f3f30412243aa8c".
Changed file "cm.class" from "d356a86b2e5892fe52b0a58c2ff7f7b223a92eb9" to "99b6845f2a09fb2de9315f85a4a0c0c10a0d543e".
Changed file "cn.class" from "90fb391d3e88b9f07b64645b59d63eb56c47bd64" to "b2c12a81c2dcbd45f83149bbf873b73102fa8fe6".
Changed file "cq.class" from "7264ab40014921912d8d224e99f98c461248158b" to "750869c79971da16dfb874c7cf33d11d59029682".
Changed file "cu.class" from "1acd15c9c7ee43945887d838895e85a2a4b8c267" to "d500c2102da91006f2eb42c8af4a0f485b31bc20".
Changed file "cw.class" from "40ec113080910001661b1cd655a79fe781fa3297" to "a09bb30ffd040a1851ed2dc9faa867762bef9e8f".
Changed file "cy.class" from "7733fc9b34c5dd17ae85506f87464fcc8e4f9b36" to "dc9b094aa80bdd3cdf4fd3df7781de42b18f89ee".
Changed file "cz.class" from "659f22cf38a48e741ce4c123ac915ac89df54dda" to "0ff223b62eedd2651e1f7f2b76383cb191a993bd".
Changed file "db.class" from "65d548338e885e34583e2bc4cbb120360e43d57b" to "5bbbb3db816fad282b632a8d3d643f3f40b691b0".
Changed file "dc.class" from "7c33726fc4d3aec86281804f31f14964d85befc1" to "656a0c89f0ff90ef8d717286f5ea873f928231b7".
Changed file "di.class" from "4715e6f0a034bb4e5f1b3ebeb33bc850301383ee" to "57de4df59a67abae5f3da3bb69233a7125fb106a".
Changed file "dv.class" from "5e04828d23fa51ef11ff98d181ed7b786927bbdb" to "428ad0d6eb90ac6c8f824044a03c1506d7a0c2a1".
Changed file "dy.class" from "5d9715d8108d2a3c03f1547eb75b0961872f57d1" to "121014504c4588a63ed7a426a43c3a63dd08a7cf".
Changed file "e.class" from "dd234d53fcac0cc5490b473194457c238eb69d66" to "d27ed31f2c3fa4a11cdae0f4e36cefe2c3b3fd3f".
Changed file "el.class" from "480a25457cdcf111ae27c0dd3dea4c63521441c6" to "603c3b92ede94b08d24d91e50f323f7967946e47".
Changed file "fe.class" from "0c1a4c8e79e00969c94222ca76be9d1954e48958" to "749b50df69e62251874d21179495eb45d5bfc06c".
Changed file "fi.class" from "e2071a302725e46bd42ac17625c2753a0c70b9b0" to "4d2c2ed698933db9fb9f3fb7dbc759faa150bdee".
Changed file "fj.class" from "d3d4a149d63ee1207def945c5472b995411517e9" to "2d3e288133bfe18ba7f1007500cc1e59ef3306f3".
Changed file "fn.class" from "32a3d41025859c8542971dfbfc07c209e4aac755" to "8244ced6c97fb6cd6f61388ace3f863811f3c622".
Changed file "fy.class" from "b52c97d49862937ed3b866f411e8b42c0b0f7fdc" to "4cba55e7a91a27c3c31e1667e2019ff22f3c39b6".
Changed file "gh.class" from "76e95431cf3c44bcf2e03820e3713489c47bcfa4" to "71a9a243322e4515990140860de6b8b6a1481a69".
Changed file "gz.class" from "a13b3d7528c4ebb615cfb0a6f2106fe0803eba22" to "376eb7dca56f649200cefd6eb01257e210189a81".
Changed file "hk.class" from "9df6f260eef9a4897ea315d05bc20dedb004a4d9" to "0ff8d6eb687f38e79b310f5f22dda3d9ef03faab".
Changed file "hu.class" from "4562f97897f1d7c03b6224a7c4753bcf1480eb02" to "d8bf2526873d7a27daa2cba990b10c805986c628".
Changed file "hw.class" from "61b9cf5c4ad318f0a2d9cac5c04d3ef480fbbf4c" to "52a87179d3ac2e05ae0e4cd2583b33f70080d61c".
Changed file "hx.class" from "fdebaa046c24901fdd725d657544cff9441e341f" to "345eb01627838dca20f722a98eaef8101d642aff".
Changed file "hy.class" from "c93041e9dded9b8376f160be910e99071fb62671" to "b77d74e468f254ff6c00638638249391aba243a5".
Changed file "hz.class" from "a4048245521065443aeb489fce757928d18ae788" to "34272a0d41a256cc6a4a7f7c53bcd4ff023a5b89".
Changed file "ic.class" from "650566fde815d401d3eb3daed7dd817f3a0454a2" to "7719f425bfa1441aec90f2835b78dee21699940e".
Changed file "iv.class" from "ac17dd83285673d4bc39d4d8081cbd13e9276b60" to "7ccde561512990d09fc3dea2b85b965652c46be8".
Changed file "iw.class" from "09fb7d2a0cb251355edb97920aef4eba238bf3c2" to "c3c54fc752f8b2a3744f346f956bddccbcde9798".
Changed file "iy.class" from "bec0d0c908fdef303919bed8ec2290e5d30a11d2" to "f1b3ddd1ab0366c2acade277603721b3a58e4088".
Changed file "ji.class" from "658c985bc25cc9d8bfea26298e96752788321f13" to "a92ea2ce1c7d81be1c6b286b7ab021cdb165a8c6".
Changed file "jl.class" from "e4220c58d2c8c549e2e4d5fae92137f64d6cb6a7" to "0e512f8e6b11c5614e5af8c602fd43185d4629f8".
Changed file "jy.class" from "44dca10a60de10ad5fd164d64deddac430621a5a" to "007e124a58f4a433ca324fa5afc9c67b8039cce2".
Changed file "kf.class" from "dfa097b5cdd778e266c84befe15702e46abebce9" to "0861997a68dae66dec9761bea4dd3c835321f1ce".
Changed file "kl.class" from "9a52cd3fe4f92c1e47da26fd9a8cb039f0e615db" to "8702d68113aeec1952add61b0bcd0959f7c8bba7".
Changed file "ko.class" from "2f42f0dc944f8014a00337cc651ea2fcb6bc90f5" to "63ce1f6b19cd745bf9eda926cb50e6d4458ae30f".
Changed file "lk.class" from "38ccd518be1d8e768d41328c7e2476108c71f52c" to "a015ecf56ab112c278ab615b24ccb542b41a92fe".
Changed file "lo.class" from "7e99c940159167c2285a332ae88fa4ad97ac3795" to "d9298e34209e4d6c0f89924f2c980d2d6b6c0930".
Changed file "lt.class" from "9a86d58b74c8b79a3f5e8303cffd8005742395ce" to "38497b4eb544361d0d3c0dbea1166d35c779d228".
Changed file "lw.class" from "db67ae027bf9c2e71204358894d7d0a61b2083ad" to "f1b9edb0f40720f86c2701c7219fea8e42788472".
Changed file "me.class" from "eb5666cd82856d405c3a8719387a9329056d2978" to "f58fae91f3f5ef549ca93e27d00c7c303b226df7".
Changed file "mf.class" from "87313bb054dc97e0800acc986bfa64d58ac6799e" to "e9e853cd44578ddc7a83ad6ddcadfc4127f427cf".
Changed file "net/minecraft/client/Minecraft.class" from "b41a08b0266e878ef127f3374d31a73d9d72c23d" to "e70f3089992b738fdd93f9c446edbe670ad88829".
